Red,Green,Blue,Clear,ColorTemp,Lux
2046,3278,2384,8250,5864,2764
2018,3262,2348,8163,5807,2774
2051,3293,2351,8233,5729,2810
2055,3309,2356,8250,5717,2831
2081,3359,2432,8419,5848,2846
2033,3346,2402,8309,5832,2863
1983,3338,2422,8291,5970,2852
1965,3305,2389,8215,5938,2830
1946,3264,2358,8132,5927,2794
1930,3224,2295,8013,5805,2782
1932,3277,2353,8061,5907,2822
2005,3344,2417,8323,5917,2858
2034,3357,2401,8351,5811,2880
2046,3342,2416,8359,5866,2842
2043,3346,2390,8320,5782,2868
2055,3379,2432,8442,5849,2886
2084,3413,2468,8523,5875,2904
2105,3360,2390,8398,5688,2870
2096,3401,2465,8535,5870,2883
2125,3451,2486,8636,5825,2937
2133,3476,2501,8690,5824,2963
1813,2881,2156,7395,6079,2380
1922,3171,2271,7886,5820,2718
2078,3332,2407,8344,5814,2822
2044,3351,2415,8336,5852,2857
2017,3348,2445,8347,5987,2840
1943,3311,2395,8185,5975,2842
2073,3384,2472,8438,5947,2858
2014,3343,2427,8303,5940,2846
2014,3338,2423,8300,5935,2841
2042,3336,2420,8311,5894,2831
2156,3356,2445,8441,5802,2807
2108,3348,2436,8389,5845,2817
2054,3353,2439,8360,5913,2840
2356,3550,2636,8916,5865,2908
2233,3423,2519,8648,5840,2834
2175,3364,2449,8463,5779,2811
2258,3369,2457,8533,5694,2786
1959,3323,2401,8217,5955,2851
2140,3402,2490,8521,5894,2852
2054,3453,2552,8577,6119,2915
2092,3239,2328,8173,5685,2729
2026,3247,2360,8189,5860,2739
2042,3303,2416,8289,5934,2782
2145,3384,2450,8512,5789,2851
2193,3359,2430,8512,5705,2811
2108,3317,2387,8324,5736,2804
2021,3222,2322,8014,5753,2722
1660,2701,1951,6828,5850,2296
1782,2926,2124,7352,5912,2485
1956,3308,2404,8150,5994,2826
2073,3408,2469,8492,5899,2898
2069,3373,2410,8373,5773,2888
2059,3376,2445,8431,5890,2870
2091,3422,2484,8523,5903,2904
2005,3290,2368,8194,5844,2808
