Red,Green,Blue,Clear,ColorTemp,Lux
2046,3278,2384,8250,5864,2764
1566,2131,1607,5499,5686,1678
1568,2220,1664,5667,5760,1777
1499,2327,1721,5805,5915,1926
1479,2329,1730,5782,5991,1929
1319,2349,1697,5639,6069,2037
1569,2159,1618,5520,5670,1714
1519,2205,1657,5611,5857,1774
1165,1866,1412,4770,6201,1533
873,1332,1014,3530,6119,1076
653,847,676,2312,6047,630
479,646,464,1608,5293,524
347,407,303,1066,5081,307
349,406,308,1064,5188,302
1251,1593,1225,4244,5628,1211
1437,1948,1402,4959,5322,1581
429,530,384,1332,5076,416
1594,2129,1620,5511,5701,1657
1370,1777,1358,4667,5638,1366
478,665,479,1594,5405,543
1480,2208,1624,5504,5760,1815
1365,1888,1435,4738,5805,1486
1444,1963,1494,5039,5761,1536
1563,2168,1626,5567,5701,1724
1309,2283,1717,5578,6367,1921
1355,2220,1652,5445,6112,1854
757,954,739,2409,5655,719
1561,2179,1649,5592,5797,1725
1608,2203,1675,5681,5777,1729
1700,2223,1691,5793,5627,1719
1628,2215,1679,5735,5729,1738
1582,2204,1666,5673,5781,1745
1587,2206,1668,5683,5776,1745
1594,2209,1671,5693,5770,1746
1580,2206,1667,5675,5785,1748
1572,2204,1665,5665,5795,1749
1605,2209,1672,5703,5753,1741
1694,2238,1706,5833,5680,1733
1678,2227,1698,5798,5697,1727
1634,2236,1707,5789,5809,1749
1663,2290,1770,5945,5942,1779
1636,2236,1720,5802,5873,1739
1782,2469,1974,6388,6304,1873
1597,2217,1688,5717,5832,1745
1819,2470,1954,6410,6121,1877
2195,2840,2356,7429,6480,2045
2448,3212,2768,8420,7070,2249
2481,3161,2760,8441,7149,2163
1845,2211,1687,5869,5343,1656
2336,2733,2240,7292,5916,1915
2069,2674,2177,6993,6250,1955
1583,2182,1653,5632,5766,1720
1584,2182,1654,5634,5769,1719
