Red,Green,Blue,Clear,ColorTemp,Lux
267,270,208,755,4731,187
252,258,198,718,4758,180
237,229,176,677,4801,160
265,269,207,753,4740,187
241,245,188,683,4727,170
230,234,180,652,4747,162
244,249,192,695,4777,173
247,253,195,706,4791,176
233,239,184,665,4789,166
222,229,176,634,4801,160
226,234,180,648,4823,164
264,268,207,749,4767,185
265,268,207,749,4750,185
261,264,204,739,4754,182
267,271,209,758,4755,188
266,269,208,752,4758,185
266,269,208,753,4758,185
263,267,206,747,4759,185
241,247,190,688,4779,172
231,237,182,658,4772,165
230,236,182,657,4802,164
231,237,183,659,4811,165
232,238,184,662,4819,165
233,240,185,667,4815,167
234,242,187,673,4851,169
237,245,191,682,4914,169
239,248,194,690,4957,171
243,255,201,710,5067,176
260,280,225,777,5350,192
277,303,249,843,5642,206
290,321,268,892,5871,216
310,347,294,965,6103,231
337,379,327,1058,6367,249
412,460,411,1299,6871,291
441,494,447,1399,7115,309
396,453,400,1268,6805,293
393,434,379,1223,6447,280
230,236,181,656,4763,165
1050,1229,1212,3555,9611,711
831,946,898,2723,8269,566
1010,1160,1098,3318,8251,699
1590,1844,1789,5311,9009,1084
1799,2006,1923,5800,8397,1174
2886,3004,2900,8798,8105,1681
3141,3409,3273,9813,8255,1965
1656,1698,1609,4984,7519,964
2601,2851,2739,8260,8341,1650
2720,3042,2927,8779,8521,1776
1430,1638,1564,4700,8464,976
1347,1533,1510,4459,9375,877
932,1105,1092,3189,9774,642
1659,1973,1899,5643,8930,1185
700,716,681,2091,7591,404
508,558,517,1586,7471,337
472,482,443,1394,6842,283
270,282,233,795,5476,186
315,340,293,961,6139,219
624,655,616,1893,7507,380
584,599,560,1744,7216,345
260,278,221,757,5222,192
967,1220,1110,3368,7865,799
1089,1362,1254,3784,8077,878
1059,1406,1296,3862,8408,926
1076,1462,1358,4004,8707,964
644,864,775,2350,7872,587
1012,1341,1257,3684,8812,868
1114,1422,1334,3949,8635,906
1501,1853,1655,5135,7392,1226
1773,2316,2118,6348,8149,1529
1734,2099,1936,5873,7940,1333
252,269,211,735,5102,188
252,271,213,738,5151,190
246,261,205,711,5087,182
248,265,209,722,5152,184
280,296,233,810,5089,205
251,266,209,726,5085,185
242,258,204,704,5163,179
238,254,200,693,5133,177
231,248,196,676,5190,172
242,256,201,699,5071,178
246,264,207,719,5122,185
232,250,198,681,5224,174
255,273,217,747,5226,189
309,324,254,889,5020,225
290,306,240,839,5051,213
274,292,228,798,5059,205
257,275,216,750,5124,192
266,282,221,771,5065,196
276,294,230,804,5072,206
284,299,235,819,5058,207
260,276,217,755,5097,192
262,280,220,765,5121,195
219,234,186,638,5218,162
228,244,194,665,5227,169
241,260,205,708,5191,182
248,264,209,721,5167,183
261,277,217,757,5067,193
246,262,207,715,5152,182
268,284,223,776,5079,198
272,287,225,786,5048,200
276,294,231,802,5107,205
275,291,229,795,5091,202
274,291,229,796,5107,202
286,303,238,830,5081,211
284,304,240,830,5168,211
327,375,310,1026,5923,258
428,513,431,1396,6315,355
516,628,531,1707,6467,435
567,702,599,1906,6668,485
401,534,444,1418,6623,387
1201,1395,1203,3892,6521,931
1083,1323,1137,3639,6711,904
1121,1357,1166,3737,6666,924
1159,1357,1177,3783,6644,904
1217,1423,1240,3969,6708,943
1135,1358,1190,3780,6910,903
978,1202,1056,3328,7082,806
1006,1205,1060,3359,6978,799
1055,1266,1114,3521,6992,840
1099,1285,1133,3603,6894,842
1007,1202,1062,3351,7033,792
970,1193,1064,3311,7348,789
960,1161,1028,3233,7136,768
955,1146,1009,3177,7002,760
944,1136,1002,3164,7046,753
973,1181,1038,3278,7029,788
991,1200,1056,3323,7038,799
545,665,584,1837,7041,445
295,340,273,920,5639,241
686,752,647,2118,6198,490
847,932,821,2647,6559,595
973,1105,988,3130,6977,705
984,1066,940,3041,6489,675
858,946,836,2687,6620,602
845,963,838,2692,6558,632
923,1021,895,2887,6512,656
759,830,734,2358,6586,526
889,978,861,2778,6549,624
1098,1207,1067,3438,6609,767
1050,1160,1029,3303,6692,736
