Red,Green,Blue,Clear,ColorTemp,Lux
173,176,136,488,4779,122
173,176,136,488,4779,122
173,176,136,488,4779,122
225,254,214,700,6074,171
225,253,214,699,6104,169
376,440,405,1230,7706,275
454,538,509,1522,8431,329
488,508,477,1467,7414,294
580,607,575,1750,7656,348
434,435,406,1266,7021,248
576,681,652,1936,8740,410
515,602,577,1807,8700,360
645,791,790,2240,10402,460
479,589,580,1663,9885,349
667,607,588,1784,6805,303
291,275,243,846,5706,161
359,405,376,1162,7679,247
636,700,669,1994,8227,408
195,199,161,557,5161,132
477,575,547,1613,8680,352
1214,1506,1487,4261,10040,894
661,716,686,2052,8185,413
929,946,917,2771,8053,520
920,931,902,2734,7990,510
357,352,319,1018,6360,206
174,176,136,489,4754,121
785,944,924,2682,9533,558
340,354,319,1010,6610,214
965,1013,981,2930,8256,567
696,708,676,2062,7646,396
522,526,494,1530,7191,299
618,743,717,2098,9076,447
317,360,328,1017,7325,225
748,862,869,2532,10348,481
963,1271,1277,3465,10865,745
