Red,Green,Blue,Clear,ColorTemp,Lux
13229,27070,10663,51200,4083,30627
13113,26445,10529,51200,4083,29776
13574,27666,10829,51200,4068,31334
13105,26345,10408,51200,4067,29709
13029,26507,10543,51200,4092,29891
13448,27585,10795,51200,4075,31272
13699,28213,11057,51200,4082,31990
13446,27780,10731,51200,4063,31627
13371,27341,10694,51200,4071,30986
13685,28293,11053,51200,4081,32124
13539,27401,10748,51200,4064,30986
13006,25913,10262,51200,4060,29166
12124,24536,9817,49616,4096,27607
13194,27395,10904,51200,4116,30975
9287,19697,7534,39533,4077,22559
9470,18351,7178,37445,4008,20636
11412,23700,9321,47604,4097,26880
11493,23603,9303,46340,4088,26713
12166,25345,9886,49674,4088,28818
11935,24089,9468,47532,4064,27216
13148,26659,10535,51200,4077,30098
12631,25338,10140,51191,4085,28470
14156,26912,11347,51200,4108,29576
13764,26872,11206,51200,4122,29743
12569,25269,10083,51033,4083,28423
12711,25399,10210,51200,4088,28489
12683,25404,10203,51200,4089,28511
12770,25357,10177,51197,4078,28428
14316,27281,11663,51200,4136,29875
12977,25259,10129,51200,4053,28241
12682,25144,10077,50977,4074,28193
13167,25894,10749,51200,4123,28728
12593,25188,10090,50981,4083,28282
12589,25175,10079,50947,4082,28271
12634,24974,10004,50633,4069,27994
12919,25262,10311,51200,4087,28131
12357,24548,9853,49754,4079,27522
