Red,Green,Blue,Clear,ColorTemp,Lux
65352,65535,60899,65535,6935,37648
65349,65535,60896,65535,6934,37651
65535,65535,63627,65535,7956,35592
65535,65535,65535,65535,8890,34196
65535,65535,63269,65535,7801,35854
65535,65535,65306,65535,8767,34363
65535,65535,64882,65535,8547,34674
65535,65535,64869,65535,8540,34683
65391,65535,61066,65535,6986,37513
65535,65535,62372,65535,7440,36511
65535,65535,65535,65535,8890,34196
58850,65535,55537,65535,6080,43684
65535,65535,65294,65535,8760,34372
65535,65535,61885,65535,7258,36867
65535,65535,63607,65535,7947,35607
