Red,Green,Blue,Clear,ColorTemp,Lux
9607,10292,7171,27751,4370,7877
9616,10301,7178,27778,4371,7883
9616,10301,7178,27778,4371,7883
9615,10302,7177,27776,4370,7885
9616,10302,7178,27778,4370,7884
9616,10302,7178,27778,4370,7884
9695,10380,7234,27993,4369,7941
36304,41838,28842,65535,4563,33139
37621,43703,30119,65535,4587,34721
53853,65535,46921,65535,4951,51612
56318,65535,49582,65535,5169,48864
56830,65535,50135,65535,5219,48293
57346,65535,50716,65535,5275,47700
58623,65535,52044,65535,5406,46314
60843,65535,54209,65535,5638,44009
63219,65535,56517,65535,5932,41548
63489,65535,56746,65535,5961,41293
64122,65535,57328,65535,6043,40661
64836,65535,58133,65535,6178,39840
65340,65535,58660,65535,6269,39291
65481,65535,58767,65535,6284,39167
65535,65535,58877,65535,6309,39069
65516,65535,58728,65535,6270,39184
65009,65535,58125,65535,6160,39790
64768,65535,57875,65535,6119,40051
64193,65535,57426,65535,6060,40566
63443,65535,56694,65535,5953,41346
62036,65535,55524,65535,5812,42659
61609,65535,54889,65535,5713,43262
61646,65535,54857,65535,5704,43274
61603,65535,54804,65535,5697,43326
63242,65535,56132,65535,5843,41822
62752,65535,56278,65535,5918,41874
62848,65535,56348,65535,5925,41792
63955,65535,57305,65535,6052,40732
64861,65535,57986,65535,6139,39940
64936,65535,58043,65535,6146,39874
61013,65535,54296,65535,5642,43890
60090,65535,54486,65535,5753,44050
60087,65535,54489,65535,5754,44049
60082,65535,54485,65535,5754,44054
8125,8701,6030,23812,4343,6682
23313,24497,17210,65171,4342,18500
51401,62937,44474,65535,4892,50099
62562,65535,56269,65535,5932,41943
63922,65535,57242,65535,6040,40789
65419,65535,58823,65535,6305,39146
64860,65535,58276,65535,6213,39728
56277,65535,51880,65535,5547,47196
54019,65535,49555,65535,5317,49630
51768,65535,46327,65535,4999,52724
52089,65535,46453,65535,4996,52527
56000,65535,49584,65535,5190,48966
64519,65535,57568,65535,6066,40357
64601,65535,57587,65535,6063,40316
64696,65535,57608,65535,6059,40270
64583,65535,57583,65535,6063,40325
64587,65535,57595,65535,6066,40315
64812,65535,57705,65535,6073,40161
65497,65535,58470,65535,6204,39379
64962,65535,57978,65535,6127,39913
65208,65535,58149,65535,6148,39708
64613,65535,57623,65535,6071,40286
64473,65535,57550,65535,6065,40385
64684,65535,57612,65535,6061,40271
64708,65535,57604,65535,6057,40269
64819,65535,57629,65535,6053,40215
64993,65535,57659,65535,6045,40136
64711,65535,57602,65535,6056,40269
65535,65535,58449,65535,6195,39382
65535,65535,59729,65535,6550,38445
64971,65535,57675,65535,6051,40132
65524,65535,58196,65535,6130,39571
59586,65535,52284,65535,5378,45826
25550,26943,19083,65535,4396,20263
25327,26805,19070,65535,4432,20128
52511,63667,44974,65535,4858,50524
60935,65535,53501,65535,5495,44497
64167,65535,57155,65535,5997,40773
65373,65535,58194,65535,6144,39621
64465,65535,57168,65535,5974,40667
61920,65535,54513,65535,5613,43436
62659,65535,55096,65535,5671,42770
61390,65535,54212,65535,5595,43829
62435,65535,54881,65535,5645,43000
62754,65535,55282,65535,5701,42603
62952,65535,55180,65535,5664,42613
62748,65535,54974,65535,5638,42830
61091,65535,53850,65535,5549,44191
62623,65535,55748,65535,5811,42304
65463,65535,58277,65535,6157,39531
65535,65535,58735,65535,6271,39173
49699,60496,42467,65535,4835,48267
50297,61044,43078,65535,4856,48491
61645,65535,54848,65535,5702,43281
65535,65535,58918,65535,6320,39039
65441,65535,58706,65535,6272,39224
