Red,Green,Blue,Clear,ColorTemp,Lux
43384,51200,39151,51200,5303,38072
43360,51200,39142,51200,5304,38086
43358,51200,39142,51200,5304,38087
43151,51200,38992,51200,5291,38264
42966,51200,38894,51200,5288,38396
42161,51200,38175,51200,5215,39183
41852,51200,37839,51200,5178,39530
41707,51200,37579,51200,5142,39767
41991,51200,37844,51200,5167,39481
42228,51200,38074,51200,5191,39236
42768,51200,38594,51200,5245,38680
43113,51200,38934,51200,5283,38319
40685,50834,36434,51200,5043,40359
35454,44047,31316,51200,4975,35091
34457,43667,30931,51200,5014,35097
35775,46303,32900,51200,5098,37388
37297,48356,34474,51200,5125,38982
39983,51198,36860,51200,5150,40850
41982,51200,38026,51200,5199,39338
39200,50517,36148,51200,5130,40550
34834,46112,32631,51200,5141,37589
37440,47961,33939,51200,5042,38704
30752,40242,26925,51200,4792,33826
25135,31609,21124,51200,4674,26269
27089,33801,22264,51200,4583,28260
28403,34418,23429,51200,4656,27955
28259,34912,22920,51200,4540,29154
32676,40091,28122,51200,4856,32087
41889,51200,38280,51200,5258,39195
42968,51200,40529,51200,5639,37198
29189,38732,25922,51200,4832,32684
29050,37278,25290,51200,4808,30897
42368,51200,38322,51200,5226,39009
42580,51200,38425,51200,5228,38864
43371,51200,39287,51200,5332,37977
43410,51200,39097,51200,5290,38103
42662,51200,38430,51200,5223,38834
42785,51200,38417,51200,5210,38804
45495,51200,41162,51200,5549,35915
44685,51200,40094,51200,5385,36959
47120,51200,42446,51200,5704,34447
45506,51200,40582,51200,5416,36336
43702,51200,39438,51200,5334,37759
42769,51200,38521,51200,5231,38733
42775,51200,38697,51200,5265,38602
42678,51200,38521,51200,5239,38762
43780,51200,39433,51200,5326,37737
48524,51200,43301,51200,5784,33366
43200,51200,38662,51200,5222,38490
42911,51200,38537,51200,5222,38675
42797,51200,38504,51200,5225,38736
